id_medico,id_persona,id_especialidad
168,5,787
169,445,144
170,37,518
171,855,530
172,263,308
173,468,309
174,334,185
175,190,533
176,692,577
177,770,388
178,802,688
179,291,279
180,279,841
181,10,839
182,935,739
183,959,966
184,393,864
185,73,805
186,921,831
187,199,717
188,166,706
189,560,207
190,778,101
191,640,492
192,933,675
193,148,802
194,347,646
195,326,237
196,674,835
197,381,44
198,263,486
199,42,887
200,923,446
201,805,344
202,550,336
203,27,266
204,291,848
205,944,751
206,683,409
207,307,843
208,51,802
209,860,10
210,705,391
211,153,315
212,905,224
213,786,636
214,667,539
215,450,563
216,286,587
217,402,422
218,153,383
219,224,652
220,465,679
221,493,99
222,312,532
223,929,609
224,915,880
225,305,608
226,122,995
227,787,62
228,760,613
229,847,952
230,102,436
231,346,148
232,714,675
233,335,492
234,158,167
235,591,103
236,959,679
237,846,364
238,713,600
239,496,132
240,934,688
241,770,626
242,845,582
243,172,621
244,597,175
245,609,623
246,799,102
247,749,327
248,918,686
249,886,94
250,565,209
251,610,602
252,818,110
253,733,798
254,194,339
255,221,429
256,815,841
257,674,12
258,856,307
259,634,984
260,313,74
261,152,437
262,679,195
263,783,745
264,409,419
265,868,736
266,307,548
267,736,381
268,42,155
269,949,876
270,254,195
271,803,207
272,83,852
273,17,627
274,205,403
275,809,290
276,426,978
277,349,566
278,552,891
279,706,273
280,769,417
281,423,250
282,57,122
283,17,574
284,211,598
285,778,316
286,290,710
287,487,152
288,996,443
289,123,92
290,545,693
291,643,564
292,933,318
293,39,160
294,175,187
295,951,928
296,586,833
297,690,648
298,864,710
299,245,409
300,704,662
301,837,620
302,568,42
303,481,958
304,512,178
305,777,144
306,745,211
307,562,692
308,565,435
309,410,808
310,446,997
311,55,398
312,924,973
313,545,730
314,1000,863
315,576,985
316,59,112
317,189,971
318,716,944
319,186,157
320,26,470
321,526,825
322,105,92
323,403,438
324,986,763
325,663,542
326,630,236
327,641,324
328,497,550
329,120,573
330,980,310
331,244,430
332,685,464
333,829,92
334,248,313
335,917,214
336,443,644
337,293,3
338,401,329
339,999,500
340,534,502
341,522,671
342,427,97
343,950,478
344,230,129
345,621,550
346,316,13
347,219,506
348,476,540
349,947,68
350,835,300
351,955,266
352,588,511
353,375,26
354,283,899
355,507,387
356,518,913
357,190,949
358,94,438
359,987,979
360,491,67
361,717,352
362,730,291
363,470,393
364,471,745
365,1000,715
366,503,449
367,121,284
368,534,258
369,878,168
370,803,5
371,145,482
372,17,413
373,721,888
374,597,711
375,885,764
376,864,168
377,902,584
378,707,987
379,47,83
380,98,203
381,809,233
382,563,580
383,650,987
384,720,1000
385,96,805
386,540,185
387,197,960
388,458,318
389,502,995
390,26,842
391,802,868
392,300,779
393,888,138
394,561,667
395,800,886
396,500,141
397,408,426
398,689,710
399,260,759
400,94,527
401,418,553
402,506,616
403,520,639
404,353,618
405,162,506
406,946,456
407,47,717
408,106,855
409,94,48
410,178,704
411,325,66
412,668,845
413,652,894
414,879,118
415,742,668
416,542,552
417,5,428
418,849,988
419,365,734
420,70,397
421,185,181
422,251,963
423,736,188
424,472,836
425,662,622
426,549,918
427,343,942
428,832,930
429,302,125
430,36,90
431,510,667
432,381,264
433,820,110
434,487,115
435,800,84
436,568,885
437,23,206
438,137,605
439,489,86
440,100,82
441,328,229
442,279,184
443,26,571
444,400,832
445,276,772
446,3,722
447,423,72
448,579,616
449,755,214
450,617,298
451,349,547
452,734,739
453,795,984
454,865,87
455,150,814
456,289,91
457,261,981
458,618,711
459,666,151
460,835,908
461,875,79
462,262,949
463,4,63
464,789,221
465,720,2
466,246,168
467,481,151
468,697,836
469,138,1
470,254,428
471,755,653
472,404,789
473,244,927
474,277,669
475,433,995
476,78,346
477,136,287
478,734,876
479,861,18
480,309,865
481,657,239
482,260,577
483,30,868
484,769,218
485,86,672
486,712,168
487,262,722
488,38,679
489,299,137
490,981,191
491,777,480
492,363,427
493,872,940
494,342,454
495,169,72
496,890,406
497,43,668
498,92,849
499,685,633
500,878,260
501,14,626
502,207,221
503,442,981
504,399,708
505,307,650
506,383,180
507,859,106
508,505,240
509,828,600
510,368,599
511,766,477
512,813,186
513,229,90
514,224,588
515,769,2
516,948,758
517,179,209
518,574,659
519,784,753
520,276,130
521,448,95
522,991,144
523,950,426
524,977,845
525,891,523
526,791,157
527,662,90
528,377,862
529,473,364
530,533,859
531,481,483
532,547,3
533,571,819
534,704,284
535,16,130
536,663,547
537,371,132
538,282,952
539,362,714
540,296,305
541,846,876
542,708,107
543,300,779
544,351,561
545,624,254
546,739,475
547,591,989
548,750,829
549,405,267
550,925,697
551,252,232
552,764,446
553,522,42
554,15,872
555,219,78
556,357,169
557,111,184
558,279,876
559,175,413
560,653,136
561,480,12
562,713,191
563,246,316
564,258,332
565,426,809
566,199,389
567,58,382
568,296,185
569,843,467
570,793,886
571,158,808
572,196,989
573,427,777
574,960,268
575,705,173
576,972,284
577,869,625
578,430,486
579,746,607
580,44,366
581,363,355
582,820,491
583,582,807
584,130,707
585,332,689
586,567,961
587,236,978
588,398,290
589,938,887
590,546,610
591,379,294
592,78,246
593,70,258
594,231,350
595,292,689
596,173,227
597,901,374
598,200,143
599,203,671
600,665,888
601,448,421
602,383,921
603,585,95
604,151,944
605,977,73
606,586,107
607,223,6
608,698,381
609,539,549
610,965,206
611,707,227
612,825,137
613,423,652
614,797,436
615,273,740
616,603,145
617,881,943
618,585,996
619,378,889
620,756,342
621,886,344
622,629,243
623,311,596
624,752,464
625,169,629
626,295,696
627,714,315
628,469,510
629,413,443
630,148,954
631,668,306
632,578,792
633,222,235
634,27,659
635,547,180
636,369,192
637,527,300
638,974,561
639,656,831
640,520,53
641,607,70
642,867,223
643,615,843
644,630,459
645,833,73
646,971,814
647,503,152
648,948,191
649,857,776
650,768,403
651,665,697
652,522,957
653,356,606
654,588,53
655,842,149
656,186,20
657,978,924
658,971,477
659,346,784
660,942,288
661,443,874
662,406,823
663,910,761
664,104,465
665,833,164
666,720,420
667,974,27
668,186,960
669,917,138
670,207,905
671,30,212
672,201,568
673,436,540
674,513,838
675,112,625
676,763,442
677,833,738
678,408,975
679,262,746
680,802,477
681,189,946
682,304,695
683,501,60
684,368,403
685,222,696
686,89,531
687,616,302
688,7,31
689,282,926
690,834,780
691,739,576
692,491,565
693,688,534
694,998,647
695,601,383
696,382,853
697,404,922
698,17,303
699,558,462
700,983,199
701,11,16
702,935,472
703,641,372
704,481,626
705,186,131
706,822,71
707,190,192
708,276,60
709,844,666
710,103,15
711,318,31
712,920,796
713,911,875
714,665,396
715,959,632
716,151,320
717,758,364
718,557,818
719,165,358
720,834,202
721,107,253
722,5,244
723,659,359
724,25,801
725,809,794
726,2,877
727,939,382
728,531,829
729,962,156
730,110,681
731,829,27
732,691,455
733,446,182
734,238,383
735,882,759
736,194,153
737,671,353
738,869,409
739,653,152
740,982,306
741,911,305
742,546,932
743,821,262
744,484,744
745,156,112
746,411,922
747,44,698
748,65,892
749,1000,796
750,787,345
751,412,842
752,346,241
753,523,988
754,330,936
755,235,884
756,319,693
757,297,637
758,945,212
759,175,352
760,773,736
761,516,722
762,228,427
763,666,272
764,622,31
765,58,496
766,730,604
767,411,144
768,479,850
769,178,256
770,312,519
771,747,458
772,51,721
773,687,347
774,411,206
775,765,488
776,511,637
777,360,255
778,48,804
779,710,317
780,467,133
781,383,283
782,890,42
783,507,137
784,546,336
785,537,927
786,399,107
787,604,631
788,90,267
789,650,851
790,756,918
791,160,908
792,809,132
793,442,423
794,197,495
795,947,62
796,616,200
797,530,585
798,914,534
799,778,921
800,624,243
801,423,95
802,218,573
803,756,249
804,300,450
805,283,100
806,260,994
807,279,509
808,797,146
809,768,56
810,227,728
811,403,146
812,669,578
813,933,142
814,772,916
815,477,331
816,205,402
817,407,310
818,653,77
819,190,907
820,650,506
821,998,225
822,225,501
823,352,248
824,663,525
825,178,87
826,938,578
827,67,635
828,693,952
829,341,970
830,667,740
831,598,532
832,212,905
833,117,359
834,229,823
835,50,1
836,177,969
837,736,854
838,597,902
839,278,778
840,206,697
841,945,228
842,907,67
843,458,116
844,147,736
845,692,85
846,176,340
847,213,571
848,317,134
849,267,94
850,27,989
851,273,417
852,281,460
853,219,35
854,176,306
855,17,151
856,101,694
857,419,130
858,529,990
859,561,958
860,427,709
861,59,662
862,810,509
863,801,677
864,755,357
865,75,66
866,181,995
867,999,345
868,887,69
869,977,696
870,33,656
871,960,916
872,578,38
873,49,69
874,95,400
875,503,879
876,966,709
877,881,998
878,701,826
879,638,548
880,224,394
881,606,23
882,904,761
883,461,358
884,722,867
885,600,124
886,426,956
887,753,877
888,365,680
889,817,635
890,425,71
891,113,189
892,993,907
893,718,540
894,282,480
895,644,616
896,325,895
897,730,181
898,914,753
899,858,230
900,217,474
901,874,808
902,667,299
903,662,549
904,486,596
905,819,882
906,129,574
907,354,963
908,944,335
909,690,512
910,210,766
911,898,350
912,115,692
913,84,573
914,286,960
915,45,512
916,86,579
917,204,154
918,691,350
919,248,504
920,279,607
921,673,556
922,344,294
923,879,853
924,412,873
925,253,638
926,921,599
927,875,910
928,567,37
929,489,646
930,180,611
931,29,421
932,736,766
933,875,234
934,92,466
935,643,504
936,882,928
937,835,531
938,23,624
939,741,610
940,967,381
941,616,92
942,164,517
943,827,421
944,118,852
945,566,143
946,289,591
947,293,657
948,392,265
949,498,41
950,47,455
951,489,461
952,74,972
953,44,461
954,781,370
955,893,519
956,419,219
957,950,866
958,116,593
959,164,730
960,858,759
961,289,951
962,318,317
963,335,457
964,7,561
965,347,401
966,654,892
967,452,459
968,499,484
969,295,649
970,502,933
971,565,733
972,209,710
973,83,81
974,781,156
975,838,98
976,583,284
977,349,109
978,814,335
979,802,216
980,226,870
981,931,465
982,320,495
983,364,657
984,31,544
985,733,139
986,540,980
987,172,503
988,93,948
989,686,458
990,545,791
991,814,501
992,711,715
993,72,230
994,801,159
995,494,662
996,26,937
997,794,956
998,622,125
999,508,691
1000,859,54
